MRP_WHS,Reference,Part_No,Part_Description,Dely_Pattern,Supplier,Po_Number,Delivery_Qty,WS_CD,Ship_To_Location,Date_n_ETA,Trans_DT,Process_DT,Rcv_DT,Rcv_Qty,JOC_CD,Outstanding_Qty,Rcv_Status,Batch_ID,Export_Date
BTV,P342842,502149201,CUSHION LOWER (L PHN),,TOKOPAK SDN BHD-080140,1133282004,1,FFL01,S3,05/19/2023  8:00:00 AM,05/18/2023  4:07:43 PM,,,0,L7436595004121417,1,NOTRECEIVED,0608G,
BTV,T877840,502437503,"CUSHION, UPPER (SM LYX)",TYPE1,TOKOPAK SDN BHD-080140,1132707031,80,FGL16,S3,05/22/2023  6:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 8:44,80,23311047,0,LATE,0608G,
BTV,T877841,502437601,"CUSHION, LOWER (SM LYX)",TYPE1,TOKOPAK SDN BHD-080140,1132707032,80,FGL16,S3,05/22/2023  6:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 8:44,80,23311047,0,LATE,0608G,
BTV,P342911,503297501,"CUSHION, LOWER L (2L DER)",,TOKOPAK SDN BHD-080140,1133886025,2,FFL08,S3,05/22/2023  6:00:00 AM,05/20/2023 12:16:53 PM,,,0,M001905004121417,2,NOTRECEIVED,0608G,
BTV,P342910,503297601,"CUSHION, LOWER R (2L DER)",,TOKOPAK SDN BHD-080140,1133886026,2,FFL08,S3,05/22/2023  6:00:00 AM,05/20/2023 12:16:12 PM,,,0,M001905004121417,2,NOTRECEIVED,0608G,
BTV,T877842,503467101,"CUSHION, UPPER R (2L MKY)",TYPE1,TOKOPAK SDN BHD-080140,1133282024,8,FFL08,S3,05/22/2023  6:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 7:50,8,22908007,0,LATE,0608G,
BTV,T877843,503467201,"CUSHION, LOWER LR (2L MKY)",TYPE1,TOKOPAK SDN BHD-080140,1133282025,8,FFL08,S3,05/22/2023  6:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 7:50,8,22908007,0,LATE,0608G,
BTV,T877844,503467301,"CUSHION, LOWER C (2L MKY)",TYPE1,TOKOPAK SDN BHD-080140,1133282026,21,FFL08,S3,05/22/2023  6:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 7:50,21,22908007,0,LATE,0608G,
BTV,T877845,503467401,"CUSHION, SIDE (2L MKY)",TYPE1,TOKOPAK SDN BHD-080140,1133282027,8,FFL08,S3,05/22/2023  6:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 7:50,8,22908007,0,LATE,0608G,
BTV,T877846,503524501,"CUSH, UPP LFT PMOD (L SEP)",TYPE1,TOKOPAK SDN BHD-080140,1133282033,16,FGL23,S3,05/22/2023  6:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 8:29,16,22411437,0,LATE,0608G,
BTV,T877847,503524601,"CUSH, UPP RGT PMOD (L SEP)",TYPE1,TOKOPAK SDN BHD-080140,1133282035,16,FGL23,S3,05/22/2023  6:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 8:29,16,22411437,0,LATE,0608G,
BTV,T877848,503524801,"CUSH, SIDE CTR PMOD (L SEP)",TYPE1,TOKOPAK SDN BHD-080140,1133282038,27,FGL23,S3,05/22/2023  6:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 8:30,27,22411437,0,LATE,0608G,
BTV,T877849,503525001,"CUSH, LOW LFT PMOD (L SEP)",TYPE1,TOKOPAK SDN BHD-080140,1133282042,6,FGL23,S3,05/22/2023  6:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 8:30,6,22411437,0,LATE,0608G,
BTV,T877850,503525101,"CUSH, LOW RGT PMOD (L SEP)",TYPE1,TOKOPAK SDN BHD-080140,1133282044,6,FGL23,S3,05/22/2023  6:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 8:30,6,22411437,0,LATE,0608G,
BTV,T877851,504555301,CUSH LOW RGT PMOD(L CBN),TYPE1,TOKOPAK SDN BHD-080140,1133282071,8,FGL05,S3,05/22/2023  6:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 7:46,8,24108024,0,LATE,0608G,
BTV,T877852,504555401,CUSH LOW LFT PMOD(L CBN),TYPE1,TOKOPAK SDN BHD-080140,1132707076,1,FGL05,S3,05/22/2023  6:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 7:46,1,24108024,0,LATE,0608G,
BTV,T877853,504555401,CUSH LOW LFT PMOD(L CBN),TYPE1,TOKOPAK SDN BHD-080140,1133282073,7,FGL05,S3,05/22/2023  6:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 7:47,7,24108024,0,LATE,0608G,
BTV,T877854,504711201,CUS LOW LFT PMOD (L MLB),TYPE1,TOKOPAK SDN BHD-080140,1133282085,8,FGL32,S3,05/22/2023  6:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 8:29,8,24201009,0,LATE,0608G,
BTV,T877855,504711301,CUS LOW RGT PMOD (L MLB),TYPE1,TOKOPAK SDN BHD-080140,1133282086,8,FGL32,S3,05/22/2023  6:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 8:29,8,24201009,0,LATE,0608G,
BTV,T877856,504711401,CUS UPP LFT PMOD (L MLB),TYPE1,TOKOPAK SDN BHD-080140,1133282087,8,FGL32,S3,05/22/2023  6:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 8:29,8,24201009,0,LATE,0608G,
BTV,T877857,504711501,CUS UPP RGT PMOD (L MLB),TYPE1,TOKOPAK SDN BHD-080140,1133282088,8,FGL32,S3,05/22/2023  6:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 8:29,8,24201009,0,LATE,0608G,
BTV,T877858,505172702,"CUSHION, LOWER (2L CBN)",TYPE1,TOKOPAK SDN BHD-080140,1133282101,30,FGL06,S3,05/22/2023  6:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 7:43,30,24351002,0,LATE,0608G,
BTV,T877859,505172801,"CUSHION, SIDE (2L CBN)",TYPE1,TOKOPAK SDN BHD-080140,1133282103,48,FGL06,S3,05/22/2023  6:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 7:43,48,24351002,0,LATE,0608G,
BTV,T877860,505172901,"CUSHION, UPPER (2L CBN)",TYPE1,TOKOPAK SDN BHD-080140,1133282105,30,FGL06,S3,05/22/2023  6:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 7:44,30,24351002,0,LATE,0608G,
BTV,T877861,505173002,"CUSHION, FRONT (2L CBN)",TYPE1,TOKOPAK SDN BHD-080140,1133282107,20,FGL06,S3,05/22/2023  6:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 7:44,20,24351002,0,LATE,0608G,
BTV,T877901,502437503,"CUSHION, UPPER (SM LYX)",TYPE1,TOKOPAK SDN BHD-080140,1132707031,98,FGL16,S3,05/22/2023  8:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 11:24,98,23311047,0,LATE,0608G,
BTV,T877902,502437503,"CUSHION, UPPER (SM LYX)",TYPE1,TOKOPAK SDN BHD-080140,1133282021,2,FGL16,S3,05/22/2023  8:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 11:24,2,23311047,0,LATE,0608G,
BTV,T877903,502437601,"CUSHION, LOWER (SM LYX)",TYPE1,TOKOPAK SDN BHD-080140,1132707032,94,FGL16,S3,05/22/2023  8:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 11:25,94,23311047,0,LATE,0608G,
BTV,T877904,502437601,"CUSHION, LOWER (SM LYX)",TYPE1,TOKOPAK SDN BHD-080140,1133282022,6,FGL16,S3,05/22/2023  8:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 11:25,6,23311047,0,LATE,0608G,
BTV,T877905,503467001,"CUSHION, UPPER L (2L MKY)",TYPE1,TOKOPAK SDN BHD-080140,1133282023,9,FFL08,S3,05/22/2023  8:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 14:01,9,22908007,0,LATE,0608G,
BTV,T877906,503467101,"CUSHION, UPPER R (2L MKY)",TYPE1,TOKOPAK SDN BHD-080140,1133282024,9,FFL08,S3,05/22/2023  8:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 14:01,9,22908007,0,LATE,0608G,
BTV,T877907,503467201,"CUSHION, LOWER LR (2L MKY)",TYPE1,TOKOPAK SDN BHD-080140,1133282025,9,FFL08,S3,05/22/2023  8:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 14:01,9,22908007,0,LATE,0608G,
BTV,T877908,503467401,"CUSHION, SIDE (2L MKY)",TYPE1,TOKOPAK SDN BHD-080140,1133282027,9,FFL08,S3,05/22/2023  8:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 14:01,9,22908007,0,LATE,0608G,
BTV,T877909,503524501,"CUSH, UPP LFT PMOD (L SEP)",TYPE1,TOKOPAK SDN BHD-080140,1133282033,7,FGL23,S3,05/22/2023  8:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 10:43,7,22411437,0,LATE,0608G,
BTV,T877910,503524601,"CUSH, UPP RGT PMOD (L SEP)",TYPE1,TOKOPAK SDN BHD-080140,1133282035,7,FGL23,S3,05/22/2023  8:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 10:43,7,22411437,0,LATE,0608G,
BTV,T877911,503524701,"CUSH, UPP CTR PMOD (L SEP)",TYPE1,TOKOPAK SDN BHD-080140,1133282037,13,FGL23,S3,05/22/2023  8:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 10:43,13,22411437,0,LATE,0608G,
BTV,T877912,503524801,"CUSH, SIDE CTR PMOD (L SEP)",TYPE1,TOKOPAK SDN BHD-080140,1133282038,7,FGL23,S3,05/22/2023  8:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 10:44,7,22411437,0,LATE,0608G,
BTV,T877913,503525001,"CUSH, LOW LFT PMOD (L SEP)",TYPE1,TOKOPAK SDN BHD-080140,1133282042,13,FGL23,S3,05/22/2023  8:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 10:44,13,22411437,0,LATE,0608G,
BTV,T877914,503525101,"CUSH, LOW RGT PMOD (L SEP)",TYPE1,TOKOPAK SDN BHD-080140,1133282044,13,FGL23,S3,05/22/2023  8:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 10:44,13,22411437,0,LATE,0608G,
BTV,T877915,503566103,"CUSHION, LOWER (M LIO)",TYPE1,TOKOPAK SDN BHD-080140,1131634045,48,FFL08,S3,05/22/2023  8:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 9:56,48,23142018,0,LATE,0608G,
BTV,T877916,503566301,"CUSHION, UPPER (M LIO)",TYPE1,TOKOPAK SDN BHD-080140,1131634046,48,FFL08,S3,05/22/2023  8:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 9:56,48,23142018,0,LATE,0608G,
BTV,T877917,504555501,CUSH UPP RGT PMOD(L CBN),TYPE1,TOKOPAK SDN BHD-080140,1132707077,12,FGL05,S3,05/22/2023  8:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 7:47,12,24108024,0,RECEIVED,0608G,
BTV,T877918,504555601,CUSH UPP LFT PMOD(L CBN),TYPE1,TOKOPAK SDN BHD-080140,1132707078,12,FGL05,S3,05/22/2023  8:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 7:47,12,24108024,0,RECEIVED,0608G,
BTV,T877919,504711201,CUS LOW LFT PMOD (L MLB),TYPE1,TOKOPAK SDN BHD-080140,1133282085,4,FGL32,S3,05/22/2023  8:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 10:44,4,24201009,0,LATE,0608G,
BTV,T877920,504711301,CUS LOW RGT PMOD (L MLB),TYPE1,TOKOPAK SDN BHD-080140,1133282086,4,FGL32,S3,05/22/2023  8:00:00 AM,05/19/2023  3:00:01 PM,,22/5/2023 10:45,4,24201009,0,LATE,0608G,
