MRP WHS,Reference,Part No,Part Description,Dely Pattern,Supplier,Po Number,Delivery Qty,WS CD,Ship To Location,Date & ETA,Trans DT,Process DT,Rcv DT,Rcv Qty,JOC No,Outstanding Qty,Rcv Status,Batch ID,Buyer_Name,Export Date
BTV,,440992002,"BAG,PROTECTION PEHD(1950X1200)",TYPE6,TOSIN PACKAGING (M) SDN BHD-005715,1133872003,13,FGL12,S3,6/1/2023 9:00:00 AM,5/30/2023 10:00:00 AM,,,0,24504006,13,ORDERED,0608G,P44-Tengku Aznan Shah,5/30/2023 1:12:23 PM
BTV,,440992002,"BAG,PROTECTION PEHD(1950X1200)",TYPE6,TOSIN PACKAGING (M) SDN BHD-005715,1133872003,20,FGL12,S3,6/1/2023 3:00:00 PM,5/30/2023 10:00:00 AM,,,0,24572002,20,ORDERED,0608G,P44-Tengku Aznan Shah,5/30/2023 1:12:23 PM
BTV,,440992002,"BAG,PROTECTION PEHD(1950X1200)",TYPE6,TOSIN PACKAGING (M) SDN BHD-005715,1133872003,22,FGL12,S3,5/31/2023 1:00:00 PM,5/30/2023 10:00:00 AM,,,0,24499003,22,ORDERED,0608G,P44-Tengku Aznan Shah,5/30/2023 1:12:23 PM
BTV,,440992002,"BAG,PROTECTION PEHD(1950X1200)",TYPE6,TOSIN PACKAGING (M) SDN BHD-005715,1133872003,24,FGL12,S3,5/31/2023 11:00:00 AM,5/30/2023 10:00:00 AM,,,0,24502003,24,ORDERED,0608G,P44-Tengku Aznan Shah,5/30/2023 1:12:23 PM
BTV,,440992002,"BAG,PROTECTION PEHD(1950X1200)",TYPE6,TOSIN PACKAGING (M) SDN BHD-005715,1133872003,32,FGL12,S3,6/2/2023 5:00:00 AM,5/30/2023 10:00:00 AM,,,0,24572002,32,ORDERED,0608G,P44-Tengku Aznan Shah,5/30/2023 1:12:23 PM
BTV,,440992002,"BAG,PROTECTION PEHD(1950X1200)",TYPE6,TOSIN PACKAGING (M) SDN BHD-005715,1133872003,40,FGL12,S3,5/31/2023 5:00:00 PM,5/30/2023 10:00:00 AM,,,0,24504006,40,ORDERED,0608G,P44-Tengku Aznan Shah,5/30/2023 1:12:23 PM
BTV,,440992002,"BAG,PROTECTION PEHD(1950X1200)",TYPE6,TOSIN PACKAGING (M) SDN BHD-005715,1133872003,44,FFL10,S3,5/31/2023 7:00:00 AM,5/30/2023 10:00:00 AM,,,0,22764019,44,ORDERED,0608G,P44-Tengku Aznan Shah,5/30/2023 1:12:23 PM
BTV,,440992002,"BAG,PROTECTION PEHD(1950X1200)",TYPE6,TOSIN PACKAGING (M) SDN BHD-005715,1133872003,60,FGL12,S3,5/31/2023 5:00:00 PM,5/30/2023 10:00:00 AM,,,0,24504006,60,ORDERED,0608G,P44-Tengku Aznan Shah,5/30/2023 1:12:23 PM
BTV,,440992002,"BAG,PROTECTION PEHD(1950X1200)",TYPE6,TOSIN PACKAGING (M) SDN BHD-005715,1133872003,80,FGL12,S3,6/1/2023 3:00:00 PM,5/30/2023 10:00:00 AM,,,0,24572002,80,ORDERED,0608G,P44-Tengku Aznan Shah,5/30/2023 1:12:23 PM
BTV,,440992002,"BAG,PROTECTION PEHD(1950X1200)",TYPE6,TOSIN PACKAGING (M) SDN BHD-005715,1133872003,80,FGL12,S3,5/31/2023 7:00:00 AM,5/30/2023 10:00:00 AM,,,0,24506002,80,ORDERED,0608G,P44-Tengku Aznan Shah,5/30/2023 1:12:23 PM
BTV,,440992002,"BAG,PROTECTION PEHD(1950X1200)",TYPE6,TOSIN PACKAGING (M) SDN BHD-005715,1133872003,87,FFL08,S3,6/1/2023 1:00:00 PM,5/30/2023 10:00:00 AM,,,0,24183009,87,ORDERED,0608G,P44-Tengku Aznan Shah,5/30/2023 1:12:23 PM
BTV,,440992002,"BAG,PROTECTION PEHD(1950X1200)",TYPE6,TOSIN PACKAGING (M) SDN BHD-005715,1133872003,87,FGL12,S3,6/2/2023 7:00:00 AM,5/30/2023 10:00:00 AM,,,0,24563004,87,ORDERED,0608G,P44-Tengku Aznan Shah,5/30/2023 1:12:23 PM
