MRP_WHS_GRP,WS_CD,JOC_CD,VENDOR_CD,VENDOR_DESC,DISB_CHARGE_CD,ITEM_NO,ITEM_DESC,WHS_CD,STD_PACK,PLAN_LOT_SIZE,USAGE_QTY,PLAN_LOT_USAGE_QTY,SUPPLY_QTY,OPEN_QTY,PARENT_ITEM_DESC,START_ECN_ACCUM_QTY,END_ECN_ACCUM_QTY
BTV,FFL08,24561003,001504,FORMOSA PROSONIC INDUSTRIES BH,OUTJIT,504477901,STAND (SM PHNM) A,RC1S1,1,25,2,50,0,50,SV-41566(J1)/KJ-43X75WL/J1,1,25
BTV,FFL08,24561003,080140,TOKOPAK SDN BHD,OUTJIT,504892401,CUSHION LOWER (SM PHNM),RC1S1,1,25,1,25,0,25,SV-41566(J1)/KJ-43X75WL/J1,1,25
BTV,FFL08,24561003,002128,DANSONPACK (KL) SDN BHD,OUTJITB,472440601,"ACC, POUCH",RC1S1,1,25,1,25,0,25,SV-41566(J1)/KJ-43X75WL/J1,1,25
BTV,FFL08,24560003,080144,JEBSEN & JESSEN PACKAGING S/B,OUTJIT,504888001,"CUSHION, LOWER (ML PHNM)",RC1S1,1,30,1,30,0,30,SV-41565(J1)/KJ-50X75WL/J1,1,30
BTV,FFL08,24560003,108349,BOE TECH (HK) LTD_SCM RM,PANELTV,101690011,LCD PANEL(B50WQ1),RCFS1,1,30,1,30,0,30,SV-41565(J1)/KJ-50X75WL/J1,1,30
BTV,FFL08,24519004,080124,BANGI PLASTICS SDN BHD,INJIT,504591231,REAR COVER ASSY (ML PHNM),RC1S1,1,250,1,250,0,250,SV-41728(E33)/KD-50X75WL/E33,1,250
BTV,FFL08,24519004,080144,JEBSEN & JESSEN PACKAGING S/B,OUTJIT,504888001,"CUSHION, LOWER (ML PHNM)",RC1S1,1,250,1,250,0,250,SV-41728(E33)/KD-50X75WL/E33,1,250
BTV,FFL08,24519004,005715,TOSIN PACKAGING (M) SDN BHD,OUTJITB,444772201,"BAG,PROTECTION PEHD(1500X1200)",RC1S1,1,250,1,250,0,250,SV-41728(E33)/KD-50X75WL/E33,1,250
BTV,FFL08,24519004,002128,DANSONPACK (KL) SDN BHD,OUTJITB,472440601,"ACC, POUCH",RC1S1,1,250,1,250,0,250,SV-41728(E33)/KD-50X75WL/E33,1,250
BTV,FFL08,24519004,080156,DYNAPAC GF (MALAYSIA) SDN BHD,OUTJITC,504927311,"CARTON, INDIVIDUAL (ML PHNR)",RC1S1,1,250,1,250,0,250,SV-41728(E33)/KD-50X75WL/E33,1,250
BTV,FFL08,24518003,003010,KAWAGUCHI MFG. SDN BHD,INJIT,504591021,REAR COVER (SM PHNM) A,RC1S1,1,227,1,227,0,227,SV-41729(E33)/KD-43X75WL/E33,1,227
BTV,FFL08,24518003,002128,DANSONPACK (KL) SDN BHD,OUTJITB,444772042,"BAG,PROTECTION PEHD(1200X900)",RC1S1,1,227,1,227,0,227,SV-41729(E33)/KD-43X75WL/E33,1,227
BTV,FFL08,24516004,080140,TOKOPAK SDN BHD,OUTJIT,502149301,CUSHION SIDE (L PHN),RC1S1,1,210,2,420,0,420,SV-41727(E33)/KD-55X75WL/E33,1,210
BTV,FFL08,24183009,002128,DANSONPACK (KL) SDN BHD,OUTJITB,472440601,"ACC, POUCH",RC1S1,1,187,1,187,0,187,SV-41319(J1)/XRJ-77A80L/J1,1,187
BTV,FFL08,22746014,080140,TOKOPAK SDN BHD,OUTJIT,503566301,"CUSHION, UPPER (M LIO)",RC1S1,1,15,1,15,0,15,SV-40276(VN3)/XR-48A90K/AZ1,1,15
BTV,FFL08,22746014,005715,TOSIN PACKAGING (M) SDN BHD,OUTJITB,444772201,"BAG,PROTECTION PEHD(1500X1200)",RC1S1,1,15,1,15,0,15,SV-40276(VN3)/XR-48A90K/AZ1,1,15
BTV,FFL08,22745010,002128,DANSONPACK (KL) SDN BHD,OUTJITB,472440601,"ACC, POUCH",RC1S1,1,10,1,10,0,10,SV-40276(VN3)/XR-48A90K/TH8,1,10
BTV,FFL08,22530038,S85034,SSCS (M) SDN BHD,INJITI,503418801,"BEZEL, AL BTM (2L DER)A",RC1S1,1,132,1,132,0,132,SV-40001(J1)/XRJ-65A95K/J1,1,132
