MRP WHS,Reference,Part No,Part Description,Dely Pattern,Supplier,Po Number,Delivery Qty,WS CD,Ship To Location,Date & ETA,Trans DT,Process DT,Rcv DT,Rcv Qty,JOC No,Outstanding Qty,Rcv Status,Batch ID,Buyer_Name,Export Date
BTV,,440992002,"BAG,PROTECTION PEHD(1950X1200)",,CONSUME STOCK,,16,FFL10,,5/22/2023 12:00:00 AM,5/18/2023 10:00:01 AM,,,0,22938015,16,NOTRECEIVED,0608G,,5/29/2023 9:28:38 AM
BTV,,440992002,"BAG,PROTECTION PEHD(1950X1200)",,CONSUME STOCK,,26,FFL10,,5/22/2023 12:00:00 AM,5/18/2023 10:00:01 AM,,,0,22943008,26,NOTRECEIVED,0608G,,5/29/2023 9:28:38 AM
BTV,,472419601,DESSICANT(50G,,CONSUME STOCK,,14,FGL14,,5/11/2023 12:00:00 AM,5/11/2023 10:00:00 AM,,,0,22255085,14,NOTRECEIVED,0608G,,5/29/2023 9:28:38 AM
BTV,,472419601,DESSICANT(50G,,CONSUME STOCK,,30,FGL23,,5/12/2023 12:00:00 AM,5/11/2023 3:00:01 PM,,,0,22411425,30,NOTRECEIVED,0608G,,5/29/2023 9:28:38 AM
BTV,,472440601,"ACC, POUCH",,CONSUME STOCK,,42,FFL10,,5/22/2023 12:00:00 AM,5/18/2023 10:00:01 AM,,,0,21370039,42,NOTRECEIVED,0608G,,5/29/2023 9:28:38 AM
BTV,,500448201,"BAG,PROTECTION PEHD(1500X1050)",,CONSUME STOCK,,258,FFL08,,5/23/2023 12:00:00 AM,5/19/2023 3:00:01 PM,,,0,22531039,258,NOTRECEIVED,0608G,,5/29/2023 9:28:38 AM
BTV,,502228301,"CUSH, SIDE CTR PMOD (L RIS)",,CONSUME STOCK,,3,FGL02,,5/18/2023 12:00:00 AM,5/13/2023 10:00:01 AM,,,0,22481015,3,NOTRECEIVED,0608G,,5/29/2023 9:28:38 AM
BTV,,502291201,"CUSHION,LOW RGT PMOD (SM PHN)",,CONSUME STOCK,,1,FGL14,,5/19/2023 12:00:00 AM,5/19/2023 10:00:01 AM,,,0,23590049,1,NOTRECEIVED,0608G,,5/29/2023 9:28:38 AM
BTV,,502291201,"CUSHION,LOW RGT PMOD (SM PHN)",,CONSUME STOCK,,2,FGL16,,5/11/2023 12:00:00 AM,5/11/2023 10:00:00 AM,,,0,23035010,2,NOTRECEIVED,0608G,,5/29/2023 9:28:38 AM
BTV,,502291201,"CUSHION,LOW RGT PMOD (SM PHN)",,CONSUME STOCK,,2,FGL16,,5/12/2023 12:00:00 AM,5/12/2023 10:00:01 AM,,,0,23590046,2,NOTRECEIVED,0608G,,5/29/2023 9:28:38 AM
