MRP WHS,Reference,Part No,Part Description,Dely Pattern,Supplier,Po Number,Delivery Qty,WS CD,Ship To Location,Date & ETA,Trans DT,Process DT,Rcv DT,Rcv Qty,JOC No,Outstanding Qty,Rcv Status,Batch ID,Buyer_Name,Export Date
BTV,,440992002,"BAG,PROTECTION PEHD(1950X1200)",TYPE6,TOSIN PACKAGING (M) SDN BHD-005715,1135436002,17,FFL10,S3,6/24/2023 7:00:00 AM,6/22/2023 10:00:00 AM,,,0,22469029,17,ORDERED,0608G,P44-Tengku Aznan Shah,6/22/2023 11:18:50 AM
BTV,,440992002,"BAG,PROTECTION PEHD(1950X1200)",TYPE6,TOSIN PACKAGING (M) SDN BHD-005715,1135436002,132,FFL10,S3,6/23/2023 11:00:00 PM,6/22/2023 10:00:00 AM,,,0,22931021,132,ORDERED,0608G,P44-Tengku Aznan Shah,6/22/2023 11:18:50 AM
BTV,,440992002,"BAG,PROTECTION PEHD(1950X1200)",TYPE6,TOSIN PACKAGING (M) SDN BHD-005715,9079010002,13,FFL10,S3,6/24/2023 7:00:00 AM,6/22/2023 10:00:00 AM,,,0,22469029,13,ORDERED,0608G,P44-Tengku Aznan Shah,6/22/2023 11:18:50 AM
BTV,,440992002,"BAG,PROTECTION PEHD(1950X1200)",TYPE6,TOSIN PACKAGING (M) SDN BHD-005715,9079010002,20,FGL12,S3,6/26/2023 11:00:00 AM,6/22/2023 10:00:00 AM,,,0,24339005,20,ORDERED,0608G,P44-Tengku Aznan Shah,6/22/2023 11:18:50 AM
BTV,,440992002,"BAG,PROTECTION PEHD(1950X1200)",TYPE6,TOSIN PACKAGING (M) SDN BHD-005715,9079010002,22,FFL10,S3,6/26/2023 7:00:00 AM,6/22/2023 10:00:00 AM,,,0,22749006,22,ORDERED,0608G,P44-Tengku Aznan Shah,6/22/2023 11:18:50 AM
BTV,,440992002,"BAG,PROTECTION PEHD(1950X1200)",TYPE6,TOSIN PACKAGING (M) SDN BHD-005715,9079010002,40,FFL10,S3,6/24/2023 7:00:00 AM,6/22/2023 10:00:00 AM,,,0,22764020,40,ORDERED,0608G,P44-Tengku Aznan Shah,6/22/2023 11:18:50 AM
BTV,,440992002,"BAG,PROTECTION PEHD(1950X1200)",TYPE6,TOSIN PACKAGING (M) SDN BHD-005715,9079010002,40,FGL12,S3,6/26/2023 7:00:00 AM,6/22/2023 10:00:00 AM,,,0,24563007,40,ORDERED,0608G,P44-Tengku Aznan Shah,6/22/2023 11:18:50 AM
BTV,,440992002,"BAG,PROTECTION PEHD(1950X1200)",TYPE6,TOSIN PACKAGING (M) SDN BHD-005715,9079010002,47,FGL12,S3,6/26/2023 11:00:00 AM,6/22/2023 10:00:00 AM,,,0,24339005,47,ORDERED,0608G,P44-Tengku Aznan Shah,6/22/2023 11:18:50 AM
BTV,,440992002,"BAG,PROTECTION PEHD(1950X1200)",TYPE6,TOSIN PACKAGING (M) SDN BHD-005715,9079010002,54,FFL10,S3,6/24/2023 9:00:00 AM,6/22/2023 10:00:00 AM,,,0,22764020,54,ORDERED,0608G,P44-Tengku Aznan Shah,6/22/2023 11:18:50 AM
BTV,,440992002,"BAG,PROTECTION PEHD(1950X1200)",TYPE6,TOSIN PACKAGING (M) SDN BHD-005715,9079010002,60,FFL10,S3,6/24/2023 7:00:00 AM,6/22/2023 10:00:00 AM,,,0,22764020,60,ORDERED,0608G,P44-Tengku Aznan Shah,6/22/2023 11:18:50 AM
