Title,TV Manual Pull Card,,,,,,,,,,,,,,,,
Mrp Whs Grp,Ws Cd,Joc Cd,Vendor Cd,Vendor Name,Disb Charge Cd,Item No,Item Desc,Whs Cd,Std Pack,Plan Lot Size,Usage,Plan Lot Usage Qty,Completed Qty,Open Qty,Parent Item Desc,Start ECN Accum Qty,End ECN Accum Qty
MRP_WHS_GRP,WS_CD,JOC_CD,VENDOR_CD,VENDOR_DESC,DISB_CHARGE_CD,ITEM_NO,ITEM_DESC,WHS_CD,STD_PACK,PLAN_LOT_SIZE,USAGE_QTY,PLAN_LOT_USAGE_QTY,SUPPLY_QTY,OPEN_QTY,PARENT_ITEM_DESC,START_ECN_ACCUM_QTY,END_ECN_ACCUM_QTY
BTV,FFL08,24560005,001504,FORMOSA PROSONIC INDUSTRIES BH,ACC,504675301,"BAG, CL ASSY (SM PHNM)",RC1B2,1,87,1,87,0,87,SV-41565(J1)/KJ-50X75WL/J1,1,87
BTV,FFL08,24491002,PA1230,KANADEN CORPORATION SPORE P/L,SP,101786211,FLEXIBLE FLAT CABLE 20P/25P,RC1B1,1,12,1,12,0,12,SV-41138(VN3)/XR-65X95L/E51,1,12
BTV,FFL08,24491002,313804,SONY ELECT OPERATIONS (CN) LTD,SB,503267601,"GUIDE,LIGHT RGB(MKY)",RC1BB,1,12,1,12,0,12,SV-41138(VN3)/XR-65X95L/E51,1,12
BTV,FFL08,24491002,002128,DANSONPACK (KL) SDN BHD,OUTJITB,472440601,"ACC, POUCH",RC1S1,1,12,1,12,0,12,SV-41138(VN3)/XR-65X95L/E51,1,12
BTV,FFL08,24471005,001504,FORMOSA PROSONIC INDUSTRIES BH,HM,504562001,KEY TOP(MLB),RB1B1,1,27,1,27,0,27,SV-41138(VN3)/XR-65X95L/VN3,1,27
BTV,FFL08,24471005,004503,YAMAGATA (MALAYSIA) SDN BHD,ACC,504710812,SAFETY BOOKLET/SAFETY FLYER,RC1B2,1,27,1,27,0,27,SV-41138(VN3)/XR-65X95L/VN3,1,27
BTV,FFL08,24265004,001504,FORMOSA PROSONIC INDUSTRIES BH,SP,502452122,"SLIDE, SW",RC1B1,1,88,1,88,0,88,SV-41122(VN3)/XR-77A80L/AF1,1,88
BTV,FFL08,24255004,313804,SONY ELECT OPERATIONS (CN) LTD,HM,502330201,"SHEET, THERMAL(DDR A)",RB1B1,1,12,2,24,0,24,SV-41122(VN3)/XR-77A80L/TH8,1,12
BTV,FFL08,24255004,001802,GS PAPERBOARD & PACKAGING S/B,OUTJITC,504926401,"CARTON, INDIVIDUAL (3L SEP2)",RC1S1,1,12,1,12,0,12,SV-41122(VN3)/XR-77A80L/TH8,1,12
BTV,FFL08,24183010,003638,MAY-PLASTICS MANUFACTURERS S/B,SB,503591901,"COVER,BTM (SEP) A",RC1B3,1,246,1,246,0,246,SV-41319(J1)/XRJ-77A80L/J1,1,246
BTV,FFL08,24183010,080140,TOKOPAK SDN BHD,OUTJIT,503595501,"CUSHION, LOWER C (3L SEP)",RC1S1,1,246,1,246,0,246,SV-41319(J1)/XRJ-77A80L/J1,1,246
BTV,FFL08,23010023,001504,FORMOSA PROSONIC INDUSTRIES BH,SB,503601802,"BRACKET, SIDE(SGT)",RC1B3,1,214,1,214,0,214,SV-40373(J1)/XRJ-42A90K/J1,1,214
BTV,FFL08,22746016,005753,TKR PRECISION (M) SDN BHD,SB,503529501,"PLATE, HS B (M LIO)",RC1B3,1,12,1,12,0,12,SV-40276(VN3)/XR-48A90K/AZ1,1,12
BTV,FFL08,22531042,PA1117,TESCOM ELECT TRADING (M) S/B,SP,101482111,FLEXIBLE FLAT CABLE 51P,RC1B1,1,210,1,210,0,210,SV-40136(J1)/XRJ-55A95K/J1,1,210
BTV,FFL10,24707001,PA1114,HAMBURG (JIANGSU) CO LTD,SP,100652211,FLEXIBLE FLAT CABLE 20P,RC1B1,1,50,1,50,0,50,SV-41482(IN5)/FW-85BZ30L/IN5,1,50
BTV,FFL10,24707001,080156,DYNAPAC GF (MALAYSIA) SDN BHD,OUTJITC,Z44410201,"PAPER PALLET, FY23 85"" (5)",RC1S1,1,50,0.2,10,0,10,SV-41482(IN5)/FW-85BZ30L/IN5,1,50
BTV,FFL10,24706001,080144,JEBSEN & JESSEN PACKAGING S/B,OUTJIT,500847001,"CUSHION, FRONT (3L BNN)",RC1S1,1,20,1,20,0,20,SV-41495(IN5)/FW-75BZ40L/IN5,1,20
BTV,FFL10,24705001,100629,C.G. DEVELOPMENT LTD,ACC,149348313,REMOTE COMMANDER (RMT-TB400U),RC1B2,1,50,1,50,0,50,SV-41484(IN5)/FW-75BZ30L/IN5,1,50
BTV,FFL10,24690001,003647,MEGA SQUARE SDN BHD,SP,100651423,CONNECTOR ASSY 4P (SP),RC1B1,1,20,1,20,0,20,SV-41737(IN5)/FW-75BZ35L/IN5,1,20
BTV,FFL10,24690001,080144,JEBSEN & JESSEN PACKAGING S/B,OUTJIT,500847001,"CUSHION, FRONT (3L BNN)",RC1S1,1,20,1,20,0,20,SV-41737(IN5)/FW-75BZ35L/IN5,1,20
BTV,FFL10,24400005,PA1230,KANADEN CORPORATION SPORE P/L,SP,101785811,FLEXIBLE FLAT CABLE 20P/25P,RC1B1,1,12,1,12,0,12,SV-41137(VN3)/XR-75X95L/AZ1,1,12
BTV,FFL10,24400005,313804,SONY ELECT OPERATIONS (CN) LTD,SB,504465801,STAND L (3L PLD) A,RC1BB,1,12,1,12,0,12,SV-41137(VN3)/XR-75X95L/AZ1,1,12
BTV,FFL10,24400005,080156,DYNAPAC GF (MALAYSIA) SDN BHD,OUTJITC,Z44408301,"PAPER PALLET, MKY 75 (6SETS)",RC1S1,1,12,0.0909,2,0,2,SV-41137(VN3)/XR-75X95L/AZ1,1,12
BTV,FFL10,24398004,080121,NISSHO PRECISION (MALAYSIA) SB,SP,504625301,"SHT, INSULATION (PLD 3L)",RC1B1,1,10,1,10,0,10,SV-41137(VN3)/XR-75X95L/E51,1,10
BTV,FFL10,24394003,003638,MAY-PLASTICS MANUFACTURERS S/B,ACC,453506462,"ASSY,FALL LOCK,BELT LL",RC1B2,1,15,1,15,0,15,SV-41136(VN3)/XR-85X95L/AZ1,1,15
BTV,FFL10,24394003,003638,MAY-PLASTICS MANUFACTURERS S/B,SB,504497901,"COVER, TOP (PLD)",RC1B3,1,15,1,15,0,15,SV-41136(VN3)/XR-85X95L/AZ1,1,15
BTV,FFL10,24394003,313804,SONY ELECT OPERATIONS (CN) LTD,SB,503267501,"GUIDE,LIGHT LED(MKY)",RC1BB,1,15,1,15,0,15,SV-41136(VN3)/XR-85X95L/AZ1,1,15
BTV,FFL10,24394003,080006,ORNAPAPER INDUSTRY (M) SDN BHD,OUTJITC,502016801,"BOARD, ANGLE 50X1560",RC1S1,1,15,2,30,0,30,SV-41136(VN3)/XR-85X95L/AZ1,1,15
BTV,FFL10,24391004,005715,TOSIN PACKAGING (M) SDN BHD,OUTJITB,502605511,"SHEET,PROTECTION(T=0.32MM)",RC1S1,1,7,1,7,0,7,SV-41136(VN3)/XR-85X95L/E51,1,7
BTV,FFL10,24390005,080026,ENTRUST PRECISION (M) SDN BHD,SP,447251811,"SCREW, +PSW M3X6",RC1B1,1,22,19,418,0,418,SV-41136(VN3)/XR-85X95L/AF1,1,22
BTV,FFL10,24210002,001802,GS PAPERBOARD & PACKAGING S/B,OUTJITC,502466901,"BOARD, FRONT (4L SGT)",RC1S1,1,40,1,40,0,40,SV-41120(AZ1)/XR-83A80L/E51,1,40
BTV,FFL10,22764020,005715,TOSIN PACKAGING (M) SDN BHD,OUTJITB,440992002,"BAG,PROTECTION PEHD(1950X1200)",RC1S1,1,154,1,154,0,154,SV-40051(VN3)/XR-75X90K/UAF1,1,154
BTV,FFL10,22762017,PA1111,ADACHI HOLDINGS LIMITED,SP,101450311,FLEXIBLE FLAT CABLE 30P,RC1B1,1,64,1,64,0,64,SV-40049(VN3)/XR-85X90K/AF1,1,64
BTV,FFL10,22762017,080124,BANGI PLASTICS SDN BHD,SB,502451613,"COVER, TOP (COM)",RC1B3,1,64,1,64,0,64,SV-40049(VN3)/XR-85X90K/AF1,1,64
BTV,FFL10,22759020,080012,AUREUMAEX PRECISION PLASTICS M,INJIT,504040501,REAR COVER (4L TGR) A,RC1S1,1,135,1,135,0,135,SV-40049(VN3)/XR-85X90K/AZ1,1,135
BTV,FFL10,22759020,080156,DYNAPAC GF (MALAYSIA) SDN BHD,OUTJITC,Z44407801,"SIDE BOARD, LYX 85""_20mm",RC1S1,1,135,0.5,68,0,68,SV-40049(VN3)/XR-85X90K/AZ1,1,135
BTV,FFL10,22757009,005403,SANKO SANGYO (M) SDN BHD,SP,505455001,"LABEL, CPL THAI",RC1B1,1,12,1,12,0,12,SV-40049(VN3)/XR-85X90K/TH8,1,12
BTV,FFL10,22749006,S85034,SSCS (M) SDN BHD,SP,100711411,CONNECTOR ASSY 4P (PZ),RC1B1,1,22,1,22,0,22,SV-40051(VN3)/XR-75X90K/TH8,1,22
BTV,FFL10,22749006,313804,SONY ELECT OPERATIONS (CN) LTD,BRD,101362141,G23BP-STATIC CONVERTER (TV),RC1B6,1,22,1,22,0,22,SV-40051(VN3)/XR-75X90K/TH8,1,22
BTV,FFL10,22469029,004503,YAMAGATA (MALAYSIA) SDN BHD,ACC,503735111,SETUP GUIDE,RC1B2,1,30,1,30,0,30,SV-40031(VN3)/KD-75X80K/VN3,1,30
BTV,FGL02,24717002,080124,BANGI PLASTICS SDN BHD,SB,500921712,BRACKET COVER (COM),RC1B3,1,42,2,84,0,84,P-MOD (YSDM055LNO01)(SVC),1,42
BTV,FGL02,24717002,080144,JEBSEN & JESSEN PACKAGING S/B,OUTJIT,500965102,CUS UPP L PMOD (L BNN),RC1S1,1,42,0.1429,6,0,6,P-MOD (YSDM055LNO01)(SVC),1,42
BTV,FGL02,24678001,080026,ENTRUST PRECISION (M) SDN BHD,SP,501552101,+PSW M6*16 W14,RC1B1,1,30,4,120,0,120,SV-41740(AF1)/FW-55BZ35L/AF1,1,30
BTV,FGL02,24678001,080140,TOKOPAK SDN BHD,OUTJIT,502149201,CUSHION LOWER (L PHN),RC1S1,1,30,1,30,0,30,SV-41740(AF1)/FW-55BZ35L/AF1,1,30
BTV,FGL02,24601005,PG0001,GPM TECHNOLOGY SDN BHD,HM,500754012,HEAT SINK (M5 APL),RB1B1,1,602,1,602,0,602,SV-41487(CEI)/FW-55BZ30L/CEI,1,602
BTV,FGL02,23885010,313804,SONY ELECT OPERATIONS (CN) LTD,SP,100643712,CONNECTOR ASSY 4P (LS),RC1B1,1,300,1,300,0,300,SV-41112(VN3)/KD-55X80L/IA2,1,300
BTV,FGL02,23885010,001504,FORMOSA PROSONIC INDUSTRIES BH,SP,502452122,"SLIDE, SW",RC1B1,1,300,1,300,0,300,SV-41112(VN3)/KD-55X80L/IA2,1,300
BTV,FGL02,23885010,004503,YAMAGATA (MALAYSIA) SDN BHD,ACC,505009501,"LABEL, WARRANTY CARD(EPH2)",RC1B2,1,300,1,300,0,300,SV-41112(VN3)/KD-55X80L/IA2,1,300
BTV,FGL02,23881009,000602,CHIYODA INTEGRE CO.(M) SDN BHD,INJITIOP,503762601,REFLECTIVE SHEET (EPH L),RC1S1,1,66,1,66,0,66,SV-41112(VN3)/KD-55X80L/E51,1,66
BTV,FGL02,23881009,080106,ZHAORI PACKAGING INDUSTRIES M,OUTJIT,502419401,CUSHION SIDE (L RIS),RC1S1,1,66,2,132,0,132,SV-41112(VN3)/KD-55X80L/E51,1,66
BTV,FGL02,23881009,002128,DANSONPACK (KL) SDN BHD,OUTJITB,472440601,"ACC, POUCH",RC1S1,1,66,1,66,0,66,SV-41112(VN3)/KD-55X80L/E51,1,66
BTV,FGL02,22481016,080148,DAI SUWON PACKAGING SDN BHD,OUTJITC,502404401,"CTN, PMOD (L RIS)",RC1S1,1,420,0.1429,60,0,60,P-MOD (YSCM055CCO01)(SVC),1,420
BTV,FGL02,22453021,000602,CHIYODA INTEGRE CO.(M) SDN BHD,SP,474417701,GASKET SB (3L BGO),RC1B1,1,100,4,400,0,400,SV-40042(VN3)/KD-55X81DK/VN3,1,100
BTV,FGL02,22453021,001504,FORMOSA PROSONIC INDUSTRIES BH,SB,501541532,BRACKET SIDE (BNN) A,RC1B3,1,100,1,100,0,100,SV-40042(VN3)/KD-55X81DK/VN3,1,100
BTV,FGL02,22440033,102403,IWATA BOLT SINGAPORE PTE LTD,SP,472654902,"SCREW, M3X3",RC1B1,1,126,6,756,0,756,SV-40039(VN3)/KD-55X80K/AF1,1,126
BTV,FGL02,22440033,000602,CHIYODA INTEGRE CO.(M) SDN BHD,SP,474417701,GASKET SB (3L BGO),RC1B1,1,126,4,504,0,504,SV-40039(VN3)/KD-55X80K/AF1,1,126
